"id","name","gender","school_level","shift","student_drop_count"
1516002,"Ramesh Nagar-SBV","Boys","Sarvodaya Sr.Secondary","General",154
1207110,"Nathupura-GBSSS","Boys","Sr.Secondary","Evening",154
1617002,"Nangloi-SBV","Boys","Sarvodaya Sr.Secondary","Evening",153
1001009,"Anand Vihar-SKV","Girls","Sarvodaya Sr.Secondary","Morning",153
1412084,"Pooth Kalan, Rohini Extn., Sector 20- SKV","Girls","Sarvodaya Sr.Secondary","Morning",153
1412253,"Mubarakpur Dabas, No-2,GGSSS-1412253","Girls","Sr.Secondary","Morning",153
1617025,"Nangloi, Phase I-GBSSS","Boys","Sr.Secondary","Evening",153
1924037,"Jungpura-SKV (Kamla Nehru)","Girls","Sarvodaya Sr.Secondary","Morning",152
1618270,"BindaPur,Pocket-IV-G(Co-ed)SS","Co-ed","Secondary","General",152
1617036,"Amalwas, Jawalapuri-SKV","Girls","Sarvodaya Sr.Secondary","General",152
1002022,"Kalyanpuri-SKV (Mother Teresa)","Girls","Sarvodaya Sr.Secondary","Morning",151
1618003,"Janakpuri, Possangipur B1-SV(Co-ed)","Co-ed","Sarvodaya Sr.Secondary","General",151
1618061,"HASTSAL-SKV","Girls","Sarvodaya Sr.Secondary","Morning",151
1618063,"Mohan Garden-SKV","Girls","Sarvodaya Sr.Secondary","Morning",151
1514013,"Khyala, No.2-SKV","Girls","Sarvodaya Sr.Secondary","Morning",151
1001105,"Jhilmil Colony-SBV","Boys","Sarvodaya Sr.Secondary","Evening",150
1821024,"Palam Enclave, No.3-G(Co-ed)SSS","Co-ed","Sr.Secondary","General",150
1207032,"Lancer Road Near Maal Road","Co-ed","Sarvodaya Sr.Secondary","Morning",149
1412259,"Nithari Village- GBSSS","Boys","Sr.Secondary","Evening",149
1617222,"Govt. Sarvodaya Kanya Vidyalaya, Shiv Ram Park, Nangloi","Girls","Sarvodaya Sr.Secondary","Morning",149
1821028,"Vijay Enclave-SBV","Boys","Sarvodaya Sr.Secondary","Evening",148
1821003,"Palam Village, Raj Nagar Extn., Part 2-GBSSS","Boys","Sr.Secondary","Evening",148
1925038,"Kalkaji, No.2-S(Co-ed)V","Co-ed","Sarvodaya Sr.Secondary","General",147
1925009,"Molar Band, No.1- SBV","Boys","Sarvodaya Sr.Secondary","Evening",147
1412002,"Mangolpuri, Block K-SBV","Boys","Sarvodaya Sr.Secondary","General",147
1105009,"New Seelampur, No.2-GBSSS","Boys","Sr.Secondary","Evening",146
1002189,"Patparganj, I.P. Extn- Sarvodaya (Co-ed) SSS","Co-ed","Sarvodaya Sr.Secondary","General",146
1106018,"New Seemapuri-SKV","Girls","Sarvodaya Sr.Secondary","Morning",146
1821001,"Palam Enclave, No.2-SBV","Boys","Sarvodaya Sr.Secondary","Evening",146
1821025,"Vijay Enclave-SKV","Girls","Sarvodaya Sr.Secondary","Morning",146
1106019,"Mandoli-SKV","Girls","Sarvodaya Sr.Secondary","Morning",145
1617214,"Sarvodaya (Co-ed) Vidyalaya, Kunwar Singh Nagar, New Delhi","Co-ed","Sarvodaya Sr.Secondary","General",145
1105024,"Shahadara, G.T.Road-SKV","Girls","Sarvodaya Sr.Secondary","Morning",145
1309001,"C.C. Colony-SBV","Boys","Sarvodaya Sr.Secondary","General",144
1618070,"Matiala-SKV","Girls","Sarvodaya Sr.Secondary","Morning",144
1001024,"Kanti Nagar-GGSSS","Girls","Sr.Secondary","Morning",143
1923052,"Sangam Vihar-GGSSS","Girls","Sr.Secondary","Morning",142
1618191,"Bindapur-G(co-ed)SSS","Co-ed","Sr.Secondary","Morning",142
1411008,"Pitampura, Block FU-SV","Co-ed","Sarvodaya Sr.Secondary","General",141
1105011,"Govt. Sarvodaya Bal Vidyalaya, Shastri Park- 1105011","Boys","Sr.Secondary","Evening",141
1925039,"Kalkaji, No.3-G(Co-ed)SSS","Co-ed","Sr.Secondary","General",141
1923048,"Chattarpur-GGSSS","Girls","Sr.Secondary","General",141
1821004,"Palam Village, No.1- SBV","Boys","Sarvodaya Sr.Secondary","Evening",141
1106259,"Mandoli Extension-GGSSS","Girls","Sr.Secondary","Morning",141
1309267,"Bakhtawarpur-SKV (BMS)","Girls","Sarvodaya Sr.Secondary","General",141
1925247,"Badarpur, No.3-GBSSS","Boys","Sr.Secondary","Evening",141
1617003,"Paschim Vihar, A 2-SV(Co-ed)","Co-ed","Sarvodaya Sr.Secondary","General",140
1207004,"Nehru Vihar-SKV","Girls","Sarvodaya Sr.Secondary","General",140
1925431,"Madanpur Khadar Extn., Phase-III- SKV","Girls","Sarvodaya Sr.Secondary","Morning",139
1821035,"Bijwasan, Bharthal Road, GGSSS","Girls","Sr.Secondary","General",139
1925035,"Noor Nagar-SKV","Girls","Sarvodaya Sr.Secondary","Morning",138
1821281,"Dwarka, Sector-13- Govt. Co-ed Sarvodaya Vidyalaya","Co-ed","Sarvodaya Sr.Secondary","General",138
1923015,"Mehrauli, No.2-GBSSS","Boys","Sr.Secondary","Evening",138
1106024,"East of Loni Road, DDA Flats-SKV","Girls","Sarvodaya Sr.Secondary","Morning",138
1925056,"Tughlakabad Extn.-SBV","Boys","Sarvodaya Sr.Secondary","Morning",138
1413010,"Rohini, Sector 9-SV (shaheed capt. Sanjeev Dahiya)","Co-ed","Sarvodaya Sr.Secondary","General",138
1310022,"Bhorgarh-GBSSS","Boys","Sr.Secondary","General",138
1821030,"Dwarka Sector-I Pkt-7-SKV","Girls","Sarvodaya Sr.Secondary","Morning",137
1618064,"Janakpuri, Block A, No.2-GGSSS","Girls","Sr.Secondary","Morning",137
1515024,"Madipur, No.2-SKV","Girls","Sarvodaya Sr.Secondary","General",136
1310410,"Narela, Sect. A-6, Pocket-2- GGSSS","Girls","Sr.Secondary","Morning",135
1104029,"Vijay Park-GGSSS","Girls","Sr.Secondary","Morning",135
